SERVICE_ORDER_ID|SERVICE_ID|QUANTITY|LINE_COST|ACTIVE_ID
1|2|1|2595.91|2
1|3|1|2595.91|2
2|58|1|800|2
3|10|1|10001|2
4|74|1|1000|2
5|74|1|12000|2
6|7|1|1000|2
7|8|1|4000|2
8|7|1|6000|2
9|9|2|10000|2
10|10|1|14000|2
11|10|1|2750|2
12|44|1|75|2
13|17|1|17975|2
13|26|1|17975|2
13|14|1|17975|2
13|15|1|17975|2
13|11|1|17975|2
13|18|1|17975|2
14|20|2|8500|2
14|22|1|8500|2
14|16|1|8500|2
15|25|1|2434.01|2
15|26|1|2434.01|2
15|27|1|2434.01|2
15|18|1|2434.01|2
16|31|1|9500|2
16|22|1|9500|2
16|16|1|9500|2
17|29|1|2934.97|2
17|79|1|2934.97|2
17|12|1|2934.97|2
18|14|1|14500|2
18|30|1|14500|2
18|32|1|14500|2
18|33|1|14500|2
18|14|1|14500|2
18|30|1|14500|2
18|78|1|14500|2
18|33|1|14500|1
19|30|1|8475|1
19|38|1|8475|1
19|37|1|8475|1
19|29|1|8475|3
19|13|1|8475|3
19|42|1|8475|3
20|14|1|7840|1
21|10|1|750|1
22|26|1|4500|1
23|4|1|270.53|1
23|43|1|270.53|1
24|101|1|2500|1
24|45|1|2500|1
24|46|1|2500|1
25|1|1|1250|1
25|49|1|1250|1
26|51|1|150|1
27|102|1|19670|2
27|40|1|19670|2
27|52|1|19670|2
27|53|1|19670|2
27|54|2|19670|2
27|19|2|19670|2
27|55|1|19670|2
27|56|1|19670|2
27|57|1|19670|2
27|10|2|19670|2
28|13|1|6650|2
28|81|1|6650|2
28|50|1|6650|2
29|10|1|460|2
30|11|1|2000|2
31|20|1|4200|2
31|9|1|4200|2
31|16|1|4200|2
32|102|2|300|2
32|61|2|300|2
33|13|1|1350|2
34|62|1|300|2
35|11|1|1300|2
36|63|1|400|2
37|64|2|940|2
38|5|1|13100|2
38|20|1|13100|2
38|82|1|13100|2
38|13|1|13100|2
39|14|1|13950|2
39|11|1|13950|2
39|35|1|13950|2
39|19|1|13950|2
40|66|1|14290|2
40|14|1|14290|2
40|35|1|14290|2
41|98|1|150|2
42|22|1|45|2
43|55|1|1250|2
44|101|1|20620.02|2
45|9|1|20620.02|2
45|22|3|20620.02|2
45|16|6|20620.02|2
45|68|6|20620.02|2
